animal,cohort,session_date,datetime,path,filename,sex,strain,stage
1038513,2,20260331,2026-03-31 09:46:25,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1038513\Behavior\20260331\AdaptSensorimotor_1038513_20260331_094625_boxEphys.csv,AdaptSensorimotor_1038513_20260331_094625_boxEphys.csv,M,Fmr1-Fezf2,trained
1038513,2,20260402,2026-04-02 09:52:51,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1038513\Behavior\20260402\AdaptSensorimotor_1038513_20260402_095251_boxEphys.csv,AdaptSensorimotor_1038513_20260402_095251_boxEphys.csv,M,Fmr1-Fezf2,trained
1053833,3,20260526,2026-05-26 10:15:05,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053833\Behavior\20260526\AdaptSensorimotor_1053833_20260526_101505_boxEphys.csv,AdaptSensorimotor_1053833_20260526_101505_boxEphys.csv,M,Fmr1-Fezf2,naive
1053833,3,20260528,2026-05-28 10:23:06,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053833\Behavior\20260528\AdaptSensorimotor_1053833_20260528_102306_boxEphys.csv,AdaptSensorimotor_1053833_20260528_102306_boxEphys.csv,M,Fmr1-Fezf2,naive
1053833,3,20260608,2026-06-08 09:57:43,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053833\Behavior\20260608\AdaptSensorimotor_1053833_20260608_095743_boxEphys.csv,AdaptSensorimotor_1053833_20260608_095743_boxEphys.csv,M,Fmr1-Fezf2,trained
1053833,3,20260610,2026-06-10 09:16:06,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053833\Behavior\20260610\AdaptSensorimotor_1053833_20260610_091606_boxEphys.csv,AdaptSensorimotor_1053833_20260610_091606_boxEphys.csv,M,Fmr1-Fezf2,trained
1053835,3,20260610,2026-06-10 17:50:48,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053835\Behavior\20260610\AdaptSensorimotor_1053835_20260610_175048_boxEphys.csv,AdaptSensorimotor_1053835_20260610_175048_boxEphys.csv,M,Fmr1-Fezf2,naive
1053835,3,20260612,2026-06-12 15:17:21,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053835\Behavior\20260612\AdaptSensorimotor_1053835_20260612_151721_boxEphys.csv,AdaptSensorimotor_1053835_20260612_151721_boxEphys.csv,M,Fmr1-Fezf2,naive
1053835,3,20260623,2026-06-23 13:01:33,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053835\Behavior\20260623\AdaptSensorimotor_1053835_20260623_130133_boxEphys.csv,AdaptSensorimotor_1053835_20260623_130133_boxEphys.csv,M,Fmr1-Fezf2,trained
1053835,3,20260625,2026-06-25 13:27:15,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053835\Behavior\20260625\AdaptSensorimotor_1053835_20260625_132715_boxEphys.csv,AdaptSensorimotor_1053835_20260625_132715_boxEphys.csv,M,Fmr1-Fezf2,trained
1053836,3,20260624,2026-06-24 10:06:47,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053836\Behavior\20260624\AdaptSensorimotor_1053836_20260624_100647_boxEphys.csv,AdaptSensorimotor_1053836_20260624_100647_boxEphys.csv,M,Fmr1-Fezf2,naive
1053836,3,20260626,2026-06-26 10:15:22,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1053836\Behavior\20260626\AdaptSensorimotor_1053836_20260626_101522_boxEphys.csv,AdaptSensorimotor_1053836_20260626_101522_boxEphys.csv,M,Fmr1-Fezf2,naive
1060138,3,20260527,2026-05-27 09:39:37,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060138\Behavior\20260527\AdaptSensorimotor_1060138_20260527_093937_boxEphys.csv,AdaptSensorimotor_1060138_20260527_093937_boxEphys.csv,F,Fmr1-Fezf2,naive
1060138,3,20260529,2026-05-29 10:05:42,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060138\Behavior\20260529\AdaptSensorimotor_1060138_20260529_100542_boxEphys.csv,AdaptSensorimotor_1060138_20260529_100542_boxEphys.csv,F,Fmr1-Fezf2,naive
1060138,3,20260609,2026-06-09 09:53:37,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060138\Behavior\20260609\AdaptSensorimotor_1060138_20260609_095337_boxEphys.csv,AdaptSensorimotor_1060138_20260609_095337_boxEphys.csv,F,Fmr1-Fezf2,trained
1060138,3,20260611,2026-06-11 10:12:56,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060138\Behavior\20260611\AdaptSensorimotor_1060138_20260611_101256_boxEphys.csv,AdaptSensorimotor_1060138_20260611_101256_boxEphys.csv,F,Fmr1-Fezf2,trained
1060141,3,20260624,2026-06-24 12:40:29,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060141\Behavior\20260624\AdaptSensorimotor_1060141_20260624_124029_boxEphys.csv,AdaptSensorimotor_1060141_20260624_124029_boxEphys.csv,F,Fmr1-Fezf2,naive
1060141,3,20260626,2026-06-26 13:14:27,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060141\Behavior\20260626\AdaptSensorimotor_1060141_20260626_131427_boxEphys.csv,AdaptSensorimotor_1060141_20260626_131427_boxEphys.csv,F,Fmr1-Fezf2,naive
1060148,3,20260609,2026-06-09 15:21:27,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060148\Behavior\20260609\AdaptSensorimotor_1060148_20260609_152127_boxEphys.csv,AdaptSensorimotor_1060148_20260609_152127_boxEphys.csv,F,Fmr1-Tlx3,naive
1060148,3,20260611,2026-06-11 15:19:35,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060148\Behavior\20260611\AdaptSensorimotor_1060148_20260611_151935_boxEphys.csv,AdaptSensorimotor_1060148_20260611_151935_boxEphys.csv,F,Fmr1-Tlx3,naive
1060148,3,20260623,2026-06-23 10:02:02,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060148\Behavior\20260623\AdaptSensorimotor_1060148_20260623_100202_boxEphys.csv,AdaptSensorimotor_1060148_20260623_100202_boxEphys.csv,F,Fmr1-Tlx3,trained
1060148,3,20260625,2026-06-25 10:48:04,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060148\Behavior\20260625\AdaptSensorimotor_1060148_20260625_104804_boxEphys.csv,AdaptSensorimotor_1060148_20260625_104804_boxEphys.csv,F,Fmr1-Tlx3,trained
1060358,3,20260601,2026-06-01 12:11:20,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060358\Behavior\20260601\AdaptSensorimotor_1060358_20260601_121120_boxEphys.csv,AdaptSensorimotor_1060358_20260601_121120_boxEphys.csv,F,Tlx3,naive
1060358,3,20260602,2026-06-02 12:36:24,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060358\Behavior\20260602\AdaptSensorimotor_1060358_20260602_123624_boxEphys.csv,AdaptSensorimotor_1060358_20260602_123624_boxEphys.csv,F,Tlx3,naive
1060358,3,20260608,2026-06-08 09:53:50,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060358\Behavior\20260608\AdaptSensorimotor_1060358_20260608_095350_box1.csv,AdaptSensorimotor_1060358_20260608_095350_box1.csv,F,Tlx3,trained
1060358,3,20260612,2026-06-12 12:19:07,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060358\Behavior\20260612\AdaptSensorimotor_1060358_20260612_121907_boxEphys.csv,AdaptSensorimotor_1060358_20260612_121907_boxEphys.csv,F,Tlx3,trained
1060359,3,20260624,2026-06-24 15:19:22,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060359\Behavior\20260624\AdaptSensorimotor_1060359_20260624_151922_boxEphys.csv,AdaptSensorimotor_1060359_20260624_151922_boxEphys.csv,F,Tlx3,naive
1060359,3,20260626,2026-06-26 15:56:21,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060359\Behavior\20260626\AdaptSensorimotor_1060359_20260626_155621_boxEphys.csv,AdaptSensorimotor_1060359_20260626_155621_boxEphys.csv,F,Tlx3,naive
1060360,3,20260519,2026-05-19 10:44:01,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060360\Behavior\20260519\AdaptSensorimotor_1060360_20260519_104401_boxEphys.csv,AdaptSensorimotor_1060360_20260519_104401_boxEphys.csv,F,Tlx3,naive
1060360,3,20260521,2026-05-21 10:58:18,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060360\Behavior\20260521\AdaptSensorimotor_1060360_20260521_105818_boxEphys.csv,AdaptSensorimotor_1060360_20260521_105818_boxEphys.csv,F,Tlx3,naive
1060360,3,20260601,2026-06-01 09:23:35,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060360\Behavior\20260601\AdaptSensorimotor_1060360_20260601_092335_boxEphys.csv,AdaptSensorimotor_1060360_20260601_092335_boxEphys.csv,F,Tlx3,trained
1060360,3,20260602,2026-06-02 09:26:22,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1060360\Behavior\20260602\AdaptSensorimotor_1060360_20260602_092622_boxEphys.csv,AdaptSensorimotor_1060360_20260602_092622_boxEphys.csv,F,Tlx3,trained
1061220,3,20260527,2026-05-27 12:33:27,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061220\Behavior\20260527\AdaptSensorimotor_1061220_20260527_123327_boxEphys.csv,AdaptSensorimotor_1061220_20260527_123327_boxEphys.csv,F,Fezf2,naive
1061220,3,20260529,2026-05-29 13:16:54,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061220\Behavior\20260529\AdaptSensorimotor_1061220_20260529_131654_boxEphys.csv,AdaptSensorimotor_1061220_20260529_131654_boxEphys.csv,F,Fezf2,naive
1061220,3,20260608,2026-06-08 15:28:11,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061220\Behavior\20260608\AdaptSensorimotor_1061220_20260608_152811_boxEphys.csv,AdaptSensorimotor_1061220_20260608_152811_boxEphys.csv,F,Fezf2,trained
1061220,3,20260610,2026-06-10 15:09:15,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061220\Behavior\20260610\AdaptSensorimotor_1061220_20260610_150915_boxEphys.csv,AdaptSensorimotor_1061220_20260610_150915_boxEphys.csv,F,Fezf2,trained
1061233,3,20260526,2026-05-26 13:16:27,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061233\Behavior\20260526\AdaptSensorimotor_1061233_20260526_131627_boxEphys.csv,AdaptSensorimotor_1061233_20260526_131627_boxEphys.csv,M,Fezf2,naive
1061233,3,20260528,2026-05-28 13:14:14,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061233\Behavior\20260528\AdaptSensorimotor_1061233_20260528_131414_boxEphys.csv,AdaptSensorimotor_1061233_20260528_131414_boxEphys.csv,M,Fezf2,naive
1061233,3,20260608,2026-06-08 12:49:04,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061233\Behavior\20260608\AdaptSensorimotor_1061233_20260608_124904_boxEphys.csv,AdaptSensorimotor_1061233_20260608_124904_boxEphys.csv,M,Fezf2,trained
1061233,3,20260610,2026-06-10 12:13:50,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061233\Behavior\20260610\AdaptSensorimotor_1061233_20260610_121350_boxEphys.csv,AdaptSensorimotor_1061233_20260610_121350_boxEphys.csv,M,Fezf2,trained
1061234,3,20260601,2026-06-01 14:56:13,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061234\Behavior\20260601\AdaptSensorimotor_1061234_20260601_145613_boxEphys.csv,AdaptSensorimotor_1061234_20260601_145613_boxEphys.csv,M,Fezf2,naive
1061234,3,20260602,2026-06-02 15:32:29,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061234\Behavior\20260602\AdaptSensorimotor_1061234_20260602_153229_boxEphys.csv,AdaptSensorimotor_1061234_20260602_153229_boxEphys.csv,M,Fezf2,naive
1061234,3,20260609,2026-06-09 12:21:57,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061234\Behavior\20260609\AdaptSensorimotor_1061234_20260609_122157_boxEphys.csv,AdaptSensorimotor_1061234_20260609_122157_boxEphys.csv,M,Fezf2,trained
1061234,3,20260612,2026-06-12 09:30:41,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_3\1061234\Behavior\20260612\AdaptSensorimotor_1061234_20260612_093041_boxEphys.csv,AdaptSensorimotor_1061234_20260612_093041_boxEphys.csv,M,Fezf2,trained
986167,1,20251125,2025-11-25 16:18:31,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986167\Behavior\20251125\AdaptSensorimotor_986167_20251125_161831_boxEphys.csv,AdaptSensorimotor_986167_20251125_161831_boxEphys.csv,M,Fezf2,naive
986167,1,20251204,2025-12-04 15:32:27,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986167\Behavior\20251204\AdaptSensorimotor_986167_20251204_153227_boxEphys.csv,AdaptSensorimotor_986167_20251204_153227_boxEphys.csv,M,Fezf2,naive
986167,1,20251210,2025-12-10 10:42:15,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986167\Behavior\20251210\AdaptSensorimotor_986167_20251210_104215_boxEphys.csv,AdaptSensorimotor_986167_20251210_104215_boxEphys.csv,M,Fezf2,trained
986167,1,20251211,2025-12-11 16:30:21,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986167\Behavior\20251211\AdaptSensorimotor_986167_20251211_163021_boxEphys.csv,AdaptSensorimotor_986167_20251211_163021_boxEphys.csv,M,Fezf2,trained
986168,1,20251203,2025-12-03 13:15:48,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986168\Behavior\20251203\AdaptSensorimotor_986168_20251203_131548_boxEphys.csv,AdaptSensorimotor_986168_20251203_131548_boxEphys.csv,M,Fezf2,naive
986168,1,20251204,2025-12-04 12:54:54,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986168\Behavior\20251204\AdaptSensorimotor_986168_20251204_125454_boxEphys.csv,AdaptSensorimotor_986168_20251204_125454_boxEphys.csv,M,Fezf2,naive
986168,1,20251210,2025-12-10 13:51:42,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986168\Behavior\20251210\AdaptSensorimotor_986168_20251210_135142_boxEphys.csv,AdaptSensorimotor_986168_20251210_135142_boxEphys.csv,M,Fezf2,trained
986168,1,20251212,2025-12-12 13:19:27,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986168\Behavior\20251212\AdaptSensorimotor_986168_20251212_131927_boxEphys.csv,AdaptSensorimotor_986168_20251212_131927_boxEphys.csv,M,Fezf2,trained
986169,1,20251202,2025-12-02 13:47:45,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986169\Behavior\20251202\AdaptSensorimotor_986169_20251202_134745_boxEphys.csv,AdaptSensorimotor_986169_20251202_134745_boxEphys.csv,M,Fezf2,naive
986169,1,20251203,2025-12-03 10:58:20,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986169\Behavior\20251203\AdaptSensorimotor_986169_20251203_105820_boxEphys.csv,AdaptSensorimotor_986169_20251203_105820_boxEphys.csv,M,Fezf2,naive
986170,1,20251125,2025-11-25 13:37:37,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986170\Behavior\20251125\AdaptSensorimotor_986170_20251125_133737_boxEphys.csv,AdaptSensorimotor_986170_20251125_133737_boxEphys.csv,M,Fezf2,naive
986170,1,20251201,2025-12-01 15:26:13,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986170\Behavior\20251201\AdaptSensorimotor_986170_20251201_152613_boxEphys.csv,AdaptSensorimotor_986170_20251201_152613_boxEphys.csv,M,Fezf2,naive
986170,1,20251209,2025-12-09 13:35:15,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986170\Behavior\20251209\AdaptSensorimotor_986170_20251209_133515_boxEphys.csv,AdaptSensorimotor_986170_20251209_133515_boxEphys.csv,M,Fezf2,trained
986170,1,20251211,2025-12-11 11:09:45,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_1\986170\Behavior\20251211\AdaptSensorimotor_986170_20251211_110945_boxEphys.csv,AdaptSensorimotor_986170_20251211_110945_boxEphys.csv,M,Fezf2,trained
